
2024/08/09 (17:44:27) | ===> btop++ v.1.3.2
2024/08/09 (17:44:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/09 (17:44:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/09 (17:46:22) | ===> btop++ v.1.3.2
2024/08/09 (17:46:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/09 (17:46:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/09 (17:48:53) | ===> btop++ v.1.3.2
2024/08/09 (17:48:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/09 (17:48:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
